year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1846,01,25,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA","(A_Lucta-Sobral-CE 1922-09-07)"
1848,08,09,18,35,,L,-36.300,-54.800,  0.0,100, 5.0,3,"B","5-6",170.000000,"UR","Uruguay","(Benavidez 1998) epicentro estimado"
1848,08,15,08,22,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 4s"
1848,08,17,23,45,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 8s"
1848,08,18,00,20,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 2-3s"
1848,09,11,08,13,,L,-36.300,-54.800,  0.0,100, 0.0,-1,"C",,,"UR","Uruguay","(Benavidez 1998) 14-16s"
1852,,,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA",""
1852,12,02,13,30,,L,-4.560,-37.760,  0.0,0, 3.0,4,"C","4",,"CE","ARACATI","(Correio_Mercantil_RJ 1852-12-23; Folha_do_Norte-PA 1896-12-01)"
1854,01,10,07,,,L,-5.200,-35.460,  0.0,50, 3.7,4,"C","5-6",,"RN","TOUROS","sentido em Natal? (A_Constituição-PA 1883-01-10)"
1854,,,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA","(A_Republica-CE 1893-05-10)"
1855,,,,,,,-3.100,-40.840,  0.0,0, 0.0,-1,"C",,,"CE","GRANJA","(Berrocal et al.1984)"
1855,07,25,06,,,L,-19.950,-43.480,  0.0,0, 3.5,4,"C","5",,"MG","S.J.B. Morro Grande","atual Barão DE COCAIS (O_Bom_Senso-Ouro_Preto 1855-08-16)"
1859,,,,,,,-19.160,-45.450,  0.0,0, 0.0,-1,"C",,,"MG","Abaeté; Dores Indaiá","ano incerto (Correio Mercantil 1862-10-23)"
1860,06,12,13,,,L,-0.860,-48.130,  0.0,0, 0.0,-1,"C",,,"PA","Vigia","(Diario_do_Rio-RJ 1860-08-11)"
1860,08,13,17,,,L,-15.700,-56.200,  0.0,100, 4.0,3,"B","4",8.000000,"MT","Cuiabá-Livramento","Rfelt=50km? Riv=25km? (Silva et al.2020)"
1861,07,30,03,,,L,-22.200,-44.950,  0.0,0, 0.0,-1,"C",,,"MG","POUSO ALTO","provavel sismo de Lorena 1861-07-31"
1861,07,31,01,,,L,-23.100,-45.750,  0.0,70, 5.0,3,"B","6",200.000000,"SP","Lorena","(Quadros et al.2019; IAG) Af=200000 Aiv=73000km2"
1862,09,19,19,30,,L,-19.160,-45.450,  0.0,20, 3.8,3,"C","5-6",8.000000,"MG","Abaeté; Dores Indaiá","antiga Sra Patrocinio Marmelada (Correio Mercantil 1862-10-23)"
1863,04,08,23,45,,L,-21.950,-45.500,  0.0,20, 3.9,3,"C","5",12.000000,"MG","Campanha","(Correio_Mercantil-RJ 1863-04-21 e 28)"
1863,05,28,10,30,,L,-25.510,-48.520,  0.0,0, 3.0,4,"C","4",,"PR","Paranaguá","(A_Actualidade-RJ 1863-06-11)"
1864,04,08,,,,,-32.500,-53.100,  0.0,0, 0.0,-1,"C",,,"RS","Jaguarão - Bretanhas","(Gazeta_Official-CE 1864-06-04)"
1864,11,26,01,30,,L,-2.530,-44.300,  0.0,0, 3.2,4,"C","4-5",,"MA","São Luís","(Correio_Mercantil 1864-12-11)"
1865,07,05,18,,,L,-4.360,-39.310,  0.0,0, 3.8,3,"C","4",8.000000,"CE","Canindé Baturité Quix.","(Correio_Mercantil-RJ 1865-11-29)"
1867,,,,,,,-30.100,-51.200,  0.0,0, 0.0,-1,"C",,,"RS","PORTO ALEGRE",""
1867,08,,,,,,-20.010,-47.400,  0.0,0, 0.0,-1,"C",,,"MG","JAGUARA","VARIOS EVENTOS"
1868,01,09,06,,,L,-15.600,-42.500,  0.0,0, 3.0,4,"C","4",,"MG","Rio Pardo","(Diário_de_Minas Ouro_Preto-MG 1868-03-24)"
1869,10,06,03,45,,L,-34.600,-58.400,  0.0,0, 3.8,4,"C","6",,"AR","Buenos Aires","(J. do Pará 1869-11-03: Nación Argentina)"
1871,04,05,01,30,,L,-3.400,-44.350,  0.0,0, 3.7,4,"C","5-6",,"MA","ITAPECURU-M.",""
1871,06,14,,,,,-2.530,-44.300,  0.0,0, 0.0,-1,"C",,,"MA","SAO LUIS","(Berrocal etal.1984)"
1872,02,04,07,,,L,-22.700,-44.300,  0.0,0, 0.0,-1,"C",,,"SP","Bananal","(Correio Paulistano 1872-02-24)"
1872,11,11,23,,,L,-18.600,-43.390,  0.0,0, 0.0,-1,"C",,,"MG","SERRO","ENCHENTE E DESABAMENTO"
1874,10,30,09,25,,L,-23.450,-47.400,  0.0,20, 3.6,3,"B","5",3.700000,"SP","Sorocaba S.Roque Itu","(Correio Paulistano 1874-11-04)   ** Af **"
1875,01,17,15,,,L,-1.000,-62.900,  0.0,0, 0.0,-1,"C",,,"AM","Barcelos","(J._do_Commercio-RJ 1910-01-17)"
1876,04,08,04,52,,L,-34.300,-58.300,  0.0,0, 3.5,4,"C","5",,"AR","Rio_la_Plata B.Aires","(INPRES)"
1876,06,04,04,30,,L,-22.210,-45.260,  0.0,0, 0.0,-1,"C",,,"MG","Cristina","(Diario_S.Paulo 1876-07-02)"
1876,06,05,22,,,L,-22.210,-45.260,  0.0,0, 0.0,-1,"C",,,"MG","Cristina","(Diario_S.Paulo 1876-07-02)"
1876,06,26,21,30,,L,-16.570,-57.820,  0.0,0, 3.0,4,"C","4",,"MT","CAMBARA",""
1879,03,01,,,,,-15.600,-56.100,  0.0,0, 3.5,4,"C","5",,"MT","CUIABA",""
1879,07,24,17,25,,L,-6.000,-35.500,  0.0,50, 4.3,3,"B","5",30.000000,"RN","NATAL","(O_Liberal_Parahybano 1879-08-02) Sentido forte em Areia-PB"
1879,10,09,21,30,,L,-19.590,-46.940,  0.0,0, 3.4,3,"C","4",3.000000,"MG","Araxá","(Diario_Maranhao 1879-11-04) 'seis leguas em redor'"
1879,10,14,07,,,L,-1.460,-61.640,  0.0,0, 3.5,4,"C","5",,"AM","Moura","(Revista Amazonica 1883_ed3)"
1881,02,17,09,,,L,-4.080,-63.140,  0.0,0, 3.2,4,"C","4",,"AM","Coari","(O_Monitor-BA 1881-03-22)"
1881,06,20,21,,,L,-22.470,-44.440,  0.0,0, 0.0,-1,"C",,,"RJ","Resende","(A_Pacotilha-MA 1881-07-14)"
1882,05,01,23,,,L,-3.400,-44.350,  0.0,0, 3.2,4,"C","4",,"MA","Itapecuru-mirim","(Diario_do_Maranhao 1882-05-08)"
1882,05,13,23,,,L,-2.530,-44.300,  0.0,0, 0.0,-1,"C",,,"MA","São Luis","(Diario_do_Maranhao 1882-05-15; A_Pacotilha-MA 1930-05-15)"
1882,10,21,04,44,,L,-21.790,-46.580,  0.0,0, 3.0,4,"C","4",,"MG","Poços de Caldas","(Correio Paulistano 1882-10-28: J. Commercio)"
1883,02,23,00,30,,L,-21.860,-42.670,  0.0,0, 3.0,4,"C","4",,"MG","Além Paraiba","(O_Liberal_PA 1883-03-28: Correio de S. José)"
1883,03,17,20,30,,L,-27.820,-54.670,  0.0,0, 3.5,3,"C","5-6",3.000000,"RS","Santo Cristo","'sentido a 6 leguas' (Correio_Paulistano 1883-06-06)"
1883,08,27,17,,,L,-2.010,-54.100,  0.0,0, 0.0,-1,"C",,,"PA","MONTE_ALEGRE","VARIOS TREMORES (Berrocal etal.1984)"
1883,10,07,11,,,L,-25.510,-48.520,  0.0,0, 0.0,-1,"C",,,"PR","Paranaguá","(Correio Paulistano 1883-10-28: jornal Itiberé - Paranaguá)"
1883,,,,,,,-3.130,-60.020,  0.0,0, 0.0,-1,"C",,,"AM","Manaus","(Gutenberg-AL 1883-0223: J. do Amazonas)"
1884,05,26,22,30,,L,-2.000,-54.070,  0.0,0, 3.5,4,"C","5",,"PA","Monte Alegre","(O_Liberal-PA 1884-06-07)"
1884,07,05,04,20,,L,-22.230,-45.940,  0.0,0, 3.2,4,"C","4-5",,"MG","Pouso Alegre","população despertou alarmada (J. Commercio-RJ 1884-07-10)"
1885,01,27,,,,,-1.460,-61.640,  0.0,0, 0.0,-1,"C",,,"AM","Moura","(Diario de Noticias-PA 1885-02-24)"
1885,01,29,17,30,,L,-3.130,-60.020,  0.0,0, 0.0,-1,"C",,,"AM","Manaus","(Diario de Noticias-PA 1885-02-05: J. do Amazonas)"
1885,02,18,13,,,L,-4.830,-42.170,  0.0,0, 0.0,-1,"C",,,"PI","Campo_Maior União","(Correio Paulistano 1885-04-28; A_Pacotilha-MA 1885-06-06)"
1885,07,25,,,,,-22.700,-47.600,  0.0,0, 0.0,-1,"C",,,"SP","Piracicaba Mato_Dentro","(Correio_Mercantil-SP 1885-08-27)"
1885,08,04,06,30,,L,+3.400,-52.900,  0.0,100, 6.9,3,"A","6",3500.000000,"GY","French_Guyana-Amapá","Felt Georgetown to Belém (Assumpção & Veloso 2020)"
1886,05,09,15,15,,L,-22.660,-43.690,  0.0,20, 4.3,3,"A","5",23.000000,"RJ","S.PEDRO-S.P.","AREA IV = 4700 km2"
1887,05,04,17,,,L,-15.940,-50.140,  0.0,0, 0.0,-1,"C",,,"GO","Goiás_Velho","(Pharol-JuizDeFora 1887-05-31; Silva etal.2020)"
1887,08,27,08,20,,L,-25.490,-48.600,  0.0,15, 3.3,3,"C",,1.500000,"PR","Paranaguá Antonina","(A_Provincia-ES 1887-09-01) sentido Fort. da Barra"
1888,05,,04,30,,L,-4.190,-38.700,  0.0,0, 3.0,4,"C","4",,"CE","ACARAPE",""
1888,06,05,00,20,,L,-34.500,-58.000,  0.0,80, 5.0,3,"A","5",245.000000,"AR","B.Aires;Colonia(UR)","(Benavidez 1998) INPRES=03:19UT"
1888,06,05,03,12,,L,-34.500,-58.000,  0.0,80, 0.0,-1,"C",,,"AR","B.Aires;Colonia(UR)","(Sanchez etal.2012)"
1888,06,05,03,30,,L,-34.500,-58.000,  0.0,80, 0.0,-1,"C",,,"AR","B.Aires;Colonia(UR)","(Sanchez etal.2012)"
1888,06,05,05,10,,L,-34.500,-58.000,  0.0,80, 0.0,-1,"C",,,"AR","B.Aires;Colonia(UR)","(Sanchez etal.2012)"
1889,12,02,06,30,,L,-3.540,-40.450,  0.0,0, 0.0,-1,"C",,,"CE","Meruoca Ibiaba Rosario","(A_Lucta-Sobral-CE 1918-12-04)"
1890,08,13,09,30,,L,-27.590,-48.550,  0.0,0, 3.0,3,"C","4",,"SC","Florianópolis","(O_Republicano-SE 1890-08-31)"
1891,12,21,09,30,,L,-13.370,-39.070,  0.0,0, 3.0,3,"C","4",,"BA","Valença","(Diario_de_Noticias-PA 1892-02-09)"
1892,07,26,13,20,,L,-2.900,-40.850,  0.0,0, 0.0,-1,"C",,,"CE","Camocim","(A_Republica-CE 1892-07-27)"
1894,11,09,,,,,-15.800,-49.200,  0.0,100, 3.7,3,"B",,6.000000,"GO","Jaraguá","(Estado de Goyás 1894-11-28; Silva et al.2020)"
1896,09,27,05,,,L,-3.130,-60.020,  0.0,0, 0.0,-1,"C",,,"AM","Manaus","(O_Pará-PA 1896-10-09)"
1898,02,25,01,,,L,-27.400,-49.100,  0.0,0, 3.9,3,"C",,10.000000,"SC","Blumenau Florianopolis","(A Republica-SC 1898-02-26; J.de_Noticias-RJ 1898-03-03)"
1898,03,24,,,,,-20.380,-43.420,  0.0,0, 3.0,4,"C","4",,"MG","Mariana","(O_Viçoso-O.Preto-MG_1898-03-27; 04-03)"
1898,04,,,,,,-20.370,-43.410,  0.0,0, 0.0,-1,"C",,,"MG","MARIANA","VARIOS EVENTOS"
1899,05,,,,,,-18.600,-46.550,  0.0,0, 3.5,4,"C","5",,"MG","PATOS","(WILLIAMS 1922) 04.1899?"
1899,06,03,03,,,L,-19.710,-47.980,  0.0,0, 3.0,4,"C","4",,"MG","Uberaba","(Minas_Gerais-O.Preto 1899-06-06; Diario_Maranhao 1899-06-16)"
1899,12,,,,,,-13.030,-39.600,  0.0,0, 3.5,4,"C","5",,"BA","AMARGOSA",""
1900,10,29,05,30,,L,+0.100,-50.000,  0.0,0, 0.0,-1,"C",,,"PA","Ilha Caviana","(A_Pacotilha-MA 1900-11-20: Folha_do_Norte-PA)"
1901,01,25,,,,,-9.660,-35.700,  0.0,0, 0.0,-1,"C",,,"AL","Maceio","(A_Pacotilha-MA 1901-01-30)"
1901,04,04,13,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO","varios eventos"
1901,04,05,05,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1901,05,25,23,20,,L,-9.530,-36.060,  0.0,0, 3.2,4,"B","4-5",,"AL","Atalaia Viçosa","(O_Cachoeirano-ES 1901-02-28) dois eventos"
1901,05,26,02,15,,L,-9.530,-36.020,  0.0,20, 3.6,3,"C","5-6",3.800000,"AL","Atalaia Viçosa Maceió","(O_Cachoeirano-ES 1901-02-28) Rfelt=30-40km"
1901,06,01,23,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1901,09,04,19,30,,L,-21.030,-44.750,  0.0,10, 3.7,3,"B","4",5.500000,"MG","Bom Sucesso","(J.Commercio 22-09-1901) outros dois à tarde"
1901,09,05,12,,,L,-21.030,-44.750,  0.0,10, 3.5,3,"C","4",3.000000,"MG","Bom Sucesso","(J.Commercio 22-09-1901)"
1902,06,25,21,,,L,-25.390,-51.460,  0.0,0, 0.0,-1,"C",,,"PR","Guarapuava","(O_Cachoeirano-ES 1902-07-06) outro 1902-26-06 às 06hs"
1902,06,29,10,,,L,-21.030,-44.750,  0.0,0, 0.0,-1,"C",,,"MG","BOM SUCESSO","dois eventos neste dia"
1903,02,10,,,,,-4.380,-38.970,  0.0,30, 3.9,3,"C",,5.500000,"CE","BATURITÉ",""
1903,02,12,,,,,-4.380,-38.970,  0.0,30, 3.9,3,"C",,5.500000,"CE","BATURITÉ",""
1903,02,14,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ",""
1903,02,15,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ","(O POVO-Fortaleza?...)"
1903,02,16,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ",""
1903,02,25,22,05,,L,-21.030,-44.780,  0.0,0, 2.8,4,"C","3-4",,"MG","Bom Sucesso","(O_Pharol-JuizDeFora-MG 1903-02-27)"
1903,03,22,,,,,-21.030,-44.780,  0.0,0, 3.4,3,"C",,2.000000,"MG","Bom_Sucesso Amparo","(O_Pharol-JuizDeFora-MG 1903-04-01) à noite '8 leguas' Rfelt=25km?"
1903,03,29,10,30,,L,-21.030,-44.780,  0.0,0, 3.7,4,"C","5-6",,"MG","Bom_Sucesso S.A.Amparo","(O_Pharol-JuizDeFora-MG 1903-04-02; 04-04)"
1903,05,14,13,,,L,-4.100,-38.750,  0.0,0, 3.6,3,"C",,5.000000,"CE","Fortaleza Baturité","(A_Pacotilha-MA 1903-05-20) Rfelt=40km?"
1903,07,20,,,,,-4.360,-39.320,  0.0,0, 0.0,-1,"C",,,"CE","CANINDÉ",""
1904,,,,,,,-5.500,-35.800,  0.0,0, 0.0,-1,"C",,,"RN","Joao Camara","(Jose Severiano - J.Camara)"
1904,,,,,,,-9.410,-40.500,  0.0,0, 0.0,-1,"C",,,"BA","Juazeiro","(Conceicao_do_Serro__CidadeConceicao-MG 1904-07-31)"
1905,,,12,30,,L,-11.200,-42.300,  0.0,100, 4.7,3,"B","4",140.000000,"BA","XIQUE-XIQUE","Ano incerto (Branner 1912)"
1905,03,12,16,,,L,-2.530,-44.300,  0.0,0, 0.0,-1,"C",,,"MA","SAO LUIS","SO' TEMPESTADE ?"
1905,07,18,19,30,,L,-10.200,-40.400,  0.0,100, 4.8,3,"B","5",180.000000,"BA","S. DO BONFIM","ANO INCERTO; 1904 ?"
1905,,,,,,,-3.580,-39.480,  0.0,0, 0.0,-1,"C",,,"CE","Cachoeira","(Gutenberg-AL 1905-09-02)"
1906,04,21,,,,,-21.950,-42.130,  0.0,0, 0.0,-1,"C",,,"RJ","São Sebastiao","(Gutenberg-AL 1906-04-28)"
1906,10,24,22,58,,L,-19.200,-57.400,  0.0,100, 4.9,3,"B","4-5",190.000000,"MS","Corumbá","(O Pharol MT 1906-10-27; Silva et al.2020)"
1906,11,24,19,30,,L,-21.310,-46.800,  0.0,0, 0.0,-1,"C",,,"MG","GUARANESIA",""
1906,12,04,08,07,,L,-20.950,-43.810,  0.0,0, 3.2,4,"C","4-5",,"MG","Carandaí","(JCommercio-RJ 1906-ed0345; Gutemberg-AL 1907-01-24)"
1908,,,,,,,-8.280,-35.960,  0.0,0, 0.0,-1,"C",,,"PE","CARUARU",""
1908,04,,,,,,-20.370,-43.410,  0.0,0, 0.0,-1,"C",,,"MG","MARIANA","(Berrocal etal.1984: Senna 1922)"
1908,04,,,,,,-19.980,-43.850,  0.0,0, 0.0,-1,"C",,,"MG","NovaLima","(O_Pharol-JuizDeFora-MG 1908-0-01) o mesmo de Mariana?"
1908,10,30,,,,,-9.650,-36.210,  0.0,0, 0.0,-1,"C",,,"AL","Boca da Mata","(jornal Gutenberg; Maceió 1908-11-01)   *******NOVO*******"
1908,12,29,23,30,,L,-27.600,-48.500,  0.0,0, 0.0,-1,"C",,,"SC","Florianopolis","(O_Est_EspiritoSanto-ES 1909-01-13; A_Federacao_RS_1909-01-01) (*)"
1909,01,29,,,,,-28.500,-49.000,  0.0,100, 4.5,3,"C","4",70.000000,"SC","Tubarao","(Corr.Mun.-Caxias-RS-1909-02-25) (*)"
1909,12,23,19,,,L,-2.400,-44.420,  0.0,0, 3.0,4,"C","4",,"MA","Alcantara","(A_Pacotilha-MA 1909-12-24; J.Comercio-RJ 1910-01-12)"
1910,01,23,14,40,,L,-9.980,-67.810,  0.0,0, 0.0,-1,"C",,,"AC","Rio_Branco","(JdoCommercio-AM 1910-02-15)"
1910,09,27,00,,,L,-19.400,-40.070,  0.0,0, 0.0,-1,"C",,,"ES","Linhares","(O_Estado_Esp.Santo 1910-10-02)"
1910,12,,,,,,-14.540,-49.960,  0.0,50, 3.0,4,"C","4",,"GO","Crixás","(O Planalto Sta-Luzia GO 1911-04-22; Silva et al.2020)"
1911,02,,,,,,-13.000,-38.660,  0.0,0, 0.0,-1,"C",,,"BA","I.DE ITAPAR.","(Berrocal etal.1984; Diario_Maranhão-MA 1911-02-25) dia 1911-02-24?"
1911,03,15,20,55,,L,-12.890,-38.690,  0.0,20, 3.0,5,"C",,0.400000,"BA","ITAPARICA","magnitude revisada estimada"
1911,03,22,15,,,L,-12.920,-38.670,  0.0,20, 4.0,5,"C","7",0.700000,"BA","ITAPARICA","AREA>700km2; Io duvidoso (J.Commercio-AM 1911-03-31)"
1911,03,30,11,10,,L,-22.000,-41.650,  0.0,40, 3.7,3,"C","4",6.000000,"RJ","Macaé","(Correio_da_Manhã-RJ 1911-03-31 e 04-01)"
1911,04,28,04,,,L,-9.980,-67.810,  0.0,0, 0.0,-1,"C",,,"AC","Rio_Branco","(Folha_do_Acre 1911-04-30)"
1911,07,30,20,,,L,-18.350,-54.700,  0.0,50, 3.0,4,"C","4",,"MS","Coxim","(O Commercio MT 1911-08-01; Silva et al.2020)"
1911,08,26,21,15,,L,-3.100,-40.840,  0.0,0, 3.4,3,"C",,2.000000,"CE","Granja Parazinho","DOIS EVENTOS Rfelt=25km (Branner 1912)   ***"
1912,04,18,,,,,-13.200,-38.890,  0.0,0, 0.0,-1,"C",,,"BA","BR.JEQUIRICA","VARIOS EVENTOS"
1912,04,19,05,,,L,-13.200,-38.890,  0.0,0, 3.7,4,"C","5-6",,"BA","BR.JEQUIRICA","(Berrocal etal.1984; J.do_Commercio-AM 1912-05-03) Jiquiriça: -13.25 -39.58"
1912,04,19,10,,,L,-13.200,-38.890,  0.0,0, 0.0,-1,"C",,,"BA","BR.JEQUIRICA",""
1912,08,18,02,,,L,-7.630,-72.670,  0.0,0, 0.0,-1,"C",,,"AC","Cruzeiro_do_Sul","(Folha_do_Acre 1912-08-25)"
1912,09,,,,,,-21.180,-47.810,  0.0,0, 0.0,-1,"C",,,"SP","Rib.Preto","(Folha_do_Acre 1912-09-12)"
1913,08,,,,,,-6.040,-38.460,  0.0,0, 0.0,-1,"C",,,"CE","PEREIRO",""
1914,02,10,07,20,,L,-7.630,-72.670,  0.0,0, 0.0,-1,"C",,,"AC","Cruzeiro do Sul","(A_Noite-RJ 1914-02-17)"
1915,02,02,,,,,-24.180,-46.790,  0.0,0, 3.2,4,"C","4-5",,"SP","ITANHAEM","(BSSA 2015 March) Sentido em São Paulo? (A_Noticia-BA 1915-02-04)"
1915,03,20,,,,,-19.980,-43.870,  0.0,0, 0.0,-1,"C",,,"MG","MINA M.VELHO",""
1915,11,06,15,30,,L,-12.670,-38.630,  0.0,20, 4.0,3,"B","6",1.700000,"BA","I.DAS FONTES","AREA IV MM"
1916,,,,,,,-21.260,-48.690,  0.0,0, 0.0,-1,"C",,,"SP","FERN.PRESTES",""
1916,05,01,,,,,-7.620,-72.660,  0.0,0, 0.0,-1,"C",,,"AC","CRUZ. DO SUL",""
1916,06,12,10,,,L,-13.040,-39.010,  0.0,0, 0.0,-1,"C",,,"BA","NAZARÉ",""
1916,07,,,,,,-15.600,-56.100,  0.0,0, 0.0,-1,"C",,,"MT","CUIABÁ","(OBS.D.BOSCO; CUIABA')"
1917,,,,,,,-7.260,-64.790,  0.0,0, 0.0,-1,"C",,,"AM","LABREA","ANO INCERTO"
1917,,,,,,,-20.720,-46.610,  0.0,0, 0.0,-1,"C","5",,"MG","PASSOS",""
1917,05,05,04,50,,L,-21.600,-41.500,  0.0,50, 4.5,3,"B","5",70.000000,"RJ","CAMPOS",""
1917,11,07,20,25,,L,-12.480,-38.660,  0.0,10, 4.3,3,"B","6-7",28.000000,"BA","RIO FUNDO",""
1917,11,07,22,,,L,-12.450,-38.620,  0.0,0, 3.7,3,"C","4",2.300000,"BA","RIO FUNDO",""
1917,11,08,04,,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO",""
1917,12,22,21,,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO",""
1918,,,,,,,-8.280,-35.960,  0.0,0, 0.0,-1,"C",,,"PE","CARUARU",""
1918,,,,,,,-23.530,-46.620,  0.0,0, 3.0,4,"C","4",,"SP","SAO PAULO",""
1918,01,06,,,,,-15.600,-56.100,  0.0,50, 0.0,-1,"C",,,"MT","Cuiabá","(A Razão RJ 2018-Jan-12; Silva et al.2020)"
1918,01,12,08,,,L,-12.450,-38.620,  0.0,0, 3.7,4,"C","5-6",,"BA","RIO FUNDO","DOIS EVENTOS"
1918,03,04,14,,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO",""
1918,03,22,00,,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO","Outro evt. as 12 h"
1918,03,27,11,,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO",""
1918,03,29,11,,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO",""
1918,04,14,04,30,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO",""
1918,04,19,08,,,L,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO",""
1918,06,,,,,,-12.450,-38.620,  0.0,0, 0.0,-1,"C",,,"BA","RIO FUNDO","VARIOS EVENTOS"
1918,08,29,,,,,-3.690,-40.360,  0.0,0, 0.0,-1,"C",,,"CE","SOBRAL",""
1919,,,,,,,-10.910,-37.020,  0.0,0, 0.0,-1,"C",,,"SE","ARACAJU","(Sampaio 1922) INICIO DO ANO ?"
1919,03,12,08,45,,L,-16.000,-59.000,  0.0,50, 3.0,4,"C","4",,"MT","Porto Esperidião","(O Combate SP 1919-03-18; Silva et al.2020)"
1919,05,08,,,,,-4.360,-39.320,  0.0,0, 0.0,-1,"C",,,"CE","CANINDÉ",""
1919,06,05,01,20,,L,-21.030,-44.750,  0.0,0, 3.2,4,"C","4-5",0.700000,"MG","Bom_Sucesso Ibituruna","Berrocal etal.(1984) outro eventos (A Noite-RJ 1919-06-11)"
1919,06,14,,,,,-18.420,-49.220,  0.0,0, 0.0,-1,"C",,,"GO","Sta.Rita_Paranaiba","(Lavoura_e_Commercio-Uberaba-MG 1954-03-27) atual Itumbiara-GO"
1919,06,,07,,,L,-17.220,-46.880,  0.0,0, 0.0,-1,"C",,,"MG","Paracatu","(O_Pharol-JuizDeFora 1919-07-17)"
1919,07,16,11,,,L,-15.600,-56.100,  0.0,0, 0.0,-1,"C",,,"MT","CUIABÁ","(OBS.D.BOSCO; CUIABÁ)"
